country,age,new_user,source,total_pages_visited,converted
US,23,1,Seo,5,0
US,28,1,Seo,4,0
US,30,1,Seo,6,0
US,31,0,Seo,1,0
US,23,0,Ads,4,0
US,25,0,Ads,2,0
US,38,0,Seo,1,0
US,43,1,Direct,8,0
US,24,1,Seo,4,0
US,39,0,Seo,3,0
US,27,1,Ads,7,0
US,33,1,Ads,9,0
US,37,1,Direct,6,0
US,35,1,Seo,14,0
US,24,1,Seo,3,0
US,36,1,Direct,10,0
US,37,1,Ads,2,0
US,23,1,Seo,2,0
US,33,0,Seo,11,0
US,38,0,Seo,5,0
US,17,0,Seo,1,0
US,27,1,Seo,7,0
US,29,0,Ads,5,0
US,27,1,Seo,8,0
US,34,0,Direct,5,0
US,22,1,Ads,3,0
US,31,1,Direct,2,0
US,29,1,Direct,2,0
US,42,1,Ads,7,0
US,17,1,Seo,7,0
US,25,1,Direct,18,1
US,33,1,Seo,4,0
US,32,0,Ads,3,0
US,43,1,Ads,1,0
US,30,0,Seo,6,0
US,27,0,Ads,7,0
US,39,1,Seo,5,0
US,40,0,Seo,4,0
US,22,1,Seo,1,0
US,19,1,Ads,3,0
US,29,0,Ads,3,0
US,33,0,Seo,15,1
US,27,1,Seo,1,0
US,30,1,Direct,2,0
US,38,1,Seo,1,0
US,23,0,Seo,6,0
US,35,0,Seo,1,0
US,23,1,Ads,1,0
US,23,1,Direct,6,0
US,27,0,Seo,7,0
US,18,0,Seo,6,0
US,25,1,Ads,5,0
US,30,0,Seo,5,0
US,18,0,Direct,19,1
US,28,1,Seo,4,0
US,25,1,Ads,5,0
US,29,1,Direct,1,0
US,26,1,Seo,4,0
US,20,1,Seo,3,0
US,31,1,Seo,11,0
US,27,1,Seo,2,0
US,30,0,Seo,2,0
US,20,0,Seo,2,0
US,50,1,Seo,1,0
US,20,1,Seo,5,0
US,33,1,Seo,1,0
US,22,0,Direct,9,0
US,33,1,Direct,3,0
US,29,0,Ads,5,0
US,19,1,Ads,7,0
US,37,0,Direct,4,0
US,30,1,Ads,11,0
US,26,0,Seo,3,0
US,26,1,Seo,3,0
US,24,0,Direct,6,0
US,23,0,Direct,1,0
US,27,1,Ads,2,0
US,36,0,Seo,4,0
US,43,0,Direct,2,0
US,33,1,Direct,1,0
US,39,1,Seo,4,0
US,34,1,Seo,9,0
US,17,0,Ads,19,1
US,30,1,Direct,7,0
US,29,0,Direct,1,0
US,35,1,Ads,9,0
US,48,1,Ads,3,0
US,35,1,Seo,1,0
US,30,1,Ads,1,0
